puBal,puSat,puHib
100.0,85.0,85.83
100.0,85.0,85.0
100.0,85.0,85.0
100.0,84.17,84.17
100.0,85.0,85.0
100.0,85.0,85.0
100.0,85.0,85.0
100.0,85.0,85.0
100.0,84.17,84.17
100.0,85.0,85.0
100.0,84.17,85.0
100.0,84.17,84.17
100.0,85.0,85.0
100.0,84.17,84.17
100.0,85.0,85.0
100.0,84.17,84.17
100.0,85.0,85.0
100.0,85.0,85.0
100.0,85.0,85.0
100.0,85.0,85.0
100.0,85.0,85.0
100.0,85.0,85.0
100.0,85.0,85.0
100.0,85.0,85.0
100.0,84.17,84.17
100.0,85.0,85.0
100.0,85.0,85.0
100.0,84.17,84.17
100.0,85.0,85.0
100.0,85.0,85.0
