puBal,puSat,puHib
79.33,57.0,57.0
79.67,58.0,58.0
78.67,57.0,57.0
77.67,57.0,57.0
78.33,57.33,57.33
78.33,57.67,57.67
77.0,56.33,56.33
75.33,58.0,58.0
80.0,58.33,58.33
78.67,56.33,56.33
79.33,57.0,57.0
77.67,56.33,56.33
76.33,56.67,56.67
78.33,56.67,56.67
78.67,56.67,56.67
78.67,57.0,57.0
78.33,57.33,57.33
77.67,57.0,57.0
79.67,57.33,57.33
77.67,55.67,56.33
77.0,56.67,56.67
77.0,57.0,57.0
78.33,55.67,55.67
79.33,56.33,56.33
77.67,56.33,56.33
76.67,57.0,57.0
77.33,57.33,57.33
76.67,57.0,57.0
77.0,57.67,57.67
78.67,57.67,57.67
