puBal,puSat,puHybrid
100.00,75.33,75.33
100.00,76.00,76.00
100.00,75.33,75.33
100.00,74.67,74.67
100.00,75.33,75.33
100.00,76.00,76.00
100.00,74.00,74.00
100.00,75.33,75.33
100.00,75.33,75.33
100.00,76.00,76.00
100.00,75.33,75.33
100.00,74.67,74.67
100.00,76.00,76.00
100.00,74.00,74.00
100.00,75.33,75.33
100.00,74.67,74.67
100.00,75.33,75.33
100.00,76.67,76.67
100.00,76.67,76.67
100.00,76.00,76.00
100.00,75.33,75.33
100.00,74.00,74.00
100.00,76.67,76.67
100.00,75.33,75.33
100.00,75.33,75.33
100.00,75.33,75.33
100.00,75.33,75.33
100.00,74.67,74.67
100.00,76.00,76.00
100.00,76.00,76.00
