ppBal,ppSat,ppHib
50.37,76.39,58.30
49.88,76.11,56.43
50.12,75.58,59.76
50.12,75.75,60.64
50.87,76.32,59.14
51.87,75.75,57.68
50.37,75.40,60.12
50.37,75.53,58.30
50.87,76.20,57.33
50.62,76.15,57.51
49.13,74.65,57.33
49.63,76.16,60.00
49.13,75.93,58.09
49.63,76.36,57.72
50.37,76.16,56.67
50.87,75.49,59.79
50.12,75.71,59.80
50.87,76.55,60.32
50.97,75.58,58.20
51.84,75.22,58.21
50.62,75.75,60.12
48.88,74.91,59.31
50.62,76.01,53.49
50.62,75.94,61.63
50.37,76.79,58.51
50.62,75.31,56.84
50.62,76.51,56.64
51.47,75.04,59.01
49.63,76.23,58.28
51.12,76.73,58.69
