ppBal,ppSat,ppHib
56.17,70.50,58.67
58.33,72.17,60.33
56.17,71.17,60.50
57.83,72.83,61.00
56.83,71.33,60.00
55.83,70.17,58.17
56.67,71.67,58.33
56.33,70.00,59.00
56.83,71.17,59.83
58.00,71.83,59.83
56.33,70.33,60.00
56.00,71.67,58.83
56.67,71.33,60.50
56.67,71.50,59.83
59.83,74.00,61.50
56.00,70.83,59.50
55.50,70.67,59.17
57.00,71.83,60.50
56.67,71.83,59.83
57.17,71.17,60.50
57.17,71.50,60.00
57.67,72.33,60.50
58.50,72.33,59.67
56.67,71.50,60.50
56.50,71.83,60.00
58.67,71.50,60.33
57.00,71.50,58.83
54.50,70.33,58.33
56.17,71.00,59.83
57.67,70.67,58.83
