ppBal,ppSat,ppHib
41.65,73.83,63.50
43.89,75.17,64.00
44.79,74.50,63.83
44.47,74.67,64.50
43.64,74.50,64.17
44.14,74.33,63.50
41.65,74.50,63.50
45.54,73.17,63.33
43.39,74.83,64.50
43.39,75.00,64.17
43.39,73.67,63.83
42.39,74.67,64.00
46.02,73.83,64.00
43.99,74.33,63.83
46.38,75.83,65.33
42.64,73.17,63.17
44.47,72.83,63.17
44.36,75.33,64.17
44.36,73.67,62.33
43.14,73.67,63.83
44.39,74.33,63.67
45.54,74.50,63.67
44.85,74.17,63.17
45.50,74.83,64.00
44.47,73.83,64.33
44.34,74.67,63.94
45.10,75.17,64.50
44.47,74.67,62.83
47.33,75.00,64.00
47.38,74.83,64.67
