ppBal,ppSat,ppHib
99.00,96.73,99.00
99.00,97.18,99.00
99.50,97.65,99.50
99.50,97.65,99.50
98.50,96.73,98.50
99.50,97.20,99.50
99.50,98.13,99.50
99.00,97.18,99.00
99.00,97.64,99.00
99.50,98.11,99.50
99.50,99.04,99.50
98.50,95.75,98.50
99.50,97.18,99.50
98.50,97.65,98.50
100.00,98.10,100.00
97.50,96.70,97.50
100.00,99.05,100.00
99.50,97.66,99.50
99.00,96.30,99.00
100.00,98.13,100.00
100.00,98.11,100.00
98.00,96.73,98.00
98.50,97.20,98.50
99.00,97.66,99.00
99.50,97.66,99.50
99.50,97.66,99.50
99.50,98.11,99.50
98.00,97.63,98.00
97.50,95.33,97.50
99.50,98.11,99.50
