ppBal,ppSat,ppHib
63.83,83.23,64.14
62.77,81.46,62.93
65.18,79.00,65.74
66.67,83.73,66.82
69.44,83.66,69.32
61.70,80.00,61.70
64.98,81.04,65.52
67.19,81.94,67.44
67.37,82.62,67.51
69.05,83.28,69.88
60.00,79.23,60.32
72.08,79.26,72.79
64.88,83.60,64.73
63.25,84.21,63.25
70.33,84.57,70.68
67.62,79.17,67.76
64.62,82.58,64.45
66.80,85.95,67.07
68.31,82.60,68.42
66.96,84.54,66.96
64.04,81.29,64.50
60.24,78.19,59.76
68.64,82.90,68.51
67.23,83.83,67.77
62.17,82.72,61.67
63.87,79.94,64.02
69.20,83.23,69.78
66.38,82.91,65.95
65.02,81.63,65.80
70.56,81.21,70.68
