puBal,puSat,puHib
100.00,76.30,91.11
100.00,76.67,91.11
100.00,76.67,91.11
100.00,75.93,91.11
100.00,76.30,91.11
100.00,76.30,91.11
100.00,76.30,91.11
100.00,76.67,91.11
100.00,76.30,91.11
100.00,75.93,91.11
100.00,75.56,91.11
100.00,75.93,91.11
100.00,75.56,91.11
100.00,76.67,91.11
100.00,75.56,91.11
100.00,76.67,91.11
100.00,76.67,91.11
100.00,75.56,91.11
100.00,75.93,91.11
100.00,76.67,91.11
100.00,76.30,91.11
100.00,75.19,91.11
100.00,75.93,91.11
100.00,75.93,91.11
100.00,75.93,91.11
100.00,77.04,91.11
100.00,76.30,91.11
100.00,77.04,91.11
100.00,76.30,91.11
100.00,76.67,91.11
