ppBal,ppSat,ppHib
45.89,74.50,61.34
49.51,75.83,64.94
49.02,75.50,62.30
47.88,76.83,62.77
48.40,75.83,62.88
47.88,76.17,61.82
49.18,76.00,63.26
45.64,75.67,63.20
47.88,76.33,64.98
46.38,75.83,62.84
49.53,74.33,62.99
50.24,75.50,62.94
46.38,75.17,62.28
48.19,75.33,65.02
47.13,76.67,64.18
47.49,75.67,64.00
46.38,76.17,64.21
47.38,75.83,65.67
47.13,75.33,62.70
46.96,75.00,61.13
47.13,76.33,61.89
45.89,76.00,64.19
48.53,75.17,61.96
47.13,76.00,62.88
46.63,75.50,63.77
50.00,76.33,64.88
47.38,76.33,62.00
48.80,75.17,63.40
47.76,76.50,65.02
47.88,76.33,62.85
