msBal,msSat
1.00,2.14
1.00,1.01
1.00,1.75
1.00,1.01
1.00,3.40
1.00,1.98
1.00,1.01
1.00,1.01
1.00,12.33
1.00,1.19
1.00,1.41
1.00,1.53
1.00,2.08
1.00,2.40
1.00,1.83
1.00,7.35
1.00,8.39
1.00,3.86
1.00,1.51
1.00,12.78
1.00,2.27
1.00,2.92
1.00,3.82
1.00,3.70
1.00,2.57
1.00,2.80
1.00,2.22
1.00,3.11
1.00,1.72
1.00,1.43
