puBal,puSat,puHib
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
