ppBal,ppSat,ppHib
49.19,71.17,61.50
51.31,73.83,62.17
50.00,73.00,62.50
54.10,73.17,62.67
51.60,72.67,61.33
50.71,72.00,61.50
49.50,73.00,62.00
51.39,72.00,61.33
49.79,73.33,62.00
51.11,73.00,61.67
50.20,71.83,61.67
49.17,72.50,61.17
52.56,72.67,62.00
48.44,72.50,61.83
53.85,74.50,64.00
47.95,71.50,61.33
49.80,72.33,61.67
52.91,72.17,62.17
50.72,72.17,61.67
51.30,73.00,61.83
52.58,73.33,61.83
52.07,73.00,61.83
52.69,73.50,61.50
51.39,73.33,63.00
50.73,73.50,61.50
52.36,72.67,62.00
50.31,72.17,61.33
52.70,72.83,61.33
51.69,72.33,61.67
52.31,72.50,61.17
