puBal,puSat,puHybrid
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
100.00,100.00,100.00
