puBal,puSat
100.00,80.00
100.00,83.33
100.00,80.00
100.00,83.33
100.00,81.11
100.00,81.11
100.00,83.33
100.00,83.33
100.00,78.89
100.00,82.22
100.00,82.22
100.00,81.11
100.00,82.22
100.00,78.89
100.00,81.11
100.00,80.00
100.00,78.89
100.00,81.11
100.00,80.00
100.00,78.89
100.00,81.11
100.00,81.11
100.00,81.11
100.00,78.89
100.00,81.11
100.00,78.89
100.00,80.00
100.00,77.78
100.00,81.11
100.00,82.22
