ppBal,ppSat,ppHib
57.83,71.00,58.17
57.67,72.00,57.83
56.50,71.33,57.83
58.17,72.50,58.83
56.67,71.67,58.67
56.83,71.00,57.50
56.33,72.00,57.83
57.50,71.17,58.17
58.17,71.33,58.50
58.00,72.33,59.00
57.00,71.00,58.00
56.33,71.50,58.33
58.00,71.83,58.83
55.67,72.00,58.17
58.67,73.33,60.00
55.00,71.50,58.00
57.00,72.00,59.33
58.00,71.33,57.50
57.17,71.17,58.17
57.17,72.17,58.50
58.33,72.83,57.67
56.83,72.83,59.00
57.67,72.33,59.00
57.50,72.00,58.83
58.00,72.00,58.50
58.17,72.00,58.17
57.00,72.33,57.83
57.83,72.17,58.50
58.83,71.83,58.67
58.17,72.00,58.17
