puBal,puSat,puHib
100.0,78.33,78.33
100.0,78.89,78.89
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.89,78.89
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.89
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.89,78.89
100.0,78.33,78.33
100.0,78.33,78.89
100.0,78.89,78.89
100.0,78.89,78.89
100.0,77.78,78.89
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.33,78.33
100.0,78.89,78.89
100.0,78.89,78.33
