ppBal,ppSat,ppHib
55.61,76.25,56.11
57.61,77.71,58.19
55.86,76.91,55.86
56.36,76.46,56.61
56.11,77.49,57.00
57.11,76.55,56.86
58.10,75.66,58.10
56.11,78.76,56.11
59.60,76.77,59.35
58.10,76.26,58.10
58.60,75.99,58.60
59.10,76.57,58.85
56.61,76.31,58.07
58.10,77.17,58.10
58.10,77.28,58.10
57.86,76.16,57.61
55.11,78.02,55.61
58.35,77.33,59.07
57.61,76.75,57.86
59.60,76.86,59.60
56.86,77.33,56.86
55.11,76.45,55.11
58.85,77.46,58.85
58.85,77.22,58.60
57.36,77.17,58.44
58.85,78.47,58.85
56.86,76.91,56.86
58.60,77.22,59.10
57.86,77.62,58.35
58.60,77.15,58.60
