puBal,puSat,puHib
100.00,73.89,73.89
100.00,74.44,74.44
100.00,73.89,73.89
100.00,73.33,73.33
100.00,73.89,73.89
100.00,74.44,74.44
100.00,72.78,72.78
100.00,73.89,73.89
100.00,73.89,73.89
100.00,74.44,74.44
100.00,73.89,73.89
100.00,73.33,73.33
100.00,74.44,74.44
100.00,72.22,72.22
100.00,73.89,73.89
100.00,73.33,73.33
100.00,73.89,73.89
100.00,75.00,75.00
100.00,75.00,75.00
100.00,74.44,74.44
100.00,73.89,73.89
100.00,72.78,72.78
100.00,75.00,75.00
100.00,73.89,73.89
100.00,73.89,73.89
100.00,73.89,73.89
100.00,73.89,73.89
100.00,73.33,73.33
100.00,74.44,74.44
100.00,74.44,74.44
